nome,cpf,idade,data,endereco,bairro,estado
Sr. Vitor Gabriel Silva,640.***.***-0,91.0,1933-12-06,Endereço inválido,vila tirol,AP
Calebe Santos,651.***.***-4,40.0,1984-03-06,Endereço inválido,ernesto nascimento,PB
Maria Julia Castro,164.***.***-4,77.0,1947-04-12,Endereço inválido,jatobá,AL
Arthur Da Rosa,085.***.***-3,54.0,1970-04-16,Endereço inválido,vila suzana segunda seção,SE
Juan Pereira,520.***.***-2,69.0,1955-10-25,Endereço inválido,estrela,BA
Dra. Ana Laura Ribeiro,210.***.***-2,70.0,1954-05-09,Endereço inválido,são francisco,SP
Maria Clara Araújo,960.***.***-8,41.0,1983-03-14,Endereço inválido,conjunto celso machado,RO
Vitória Oliveira,302.***.***-8,31.0,1993-03-10,Endereço inválido,conjunto paulo vi,GO
Benjamin Oliveira,451.***.***-8,50.0,1974-05-16,Endereço inválido,vila primeiro de maio,CE
Pietro Barros,843.***.***-5,52.0,1972-08-19,Endereço inválido,vila aeroporto jaraguá,PB
Samuel Cavalcanti,520.***.***-0,90.0,1934-11-26,Endereço inválido,nova america,TO
Ian Da Costa,384.***.***-7,24.0,2001-01-21,Endereço inválido,vila da amizade,PB
Dr. Emanuel Costa,736.***.***-1,55.0,1969-03-09,Endereço inválido,mariano de abreu,RJ
Larissa Da Cruz,128.***.***-6,84.0,1940-11-22,Endereço inválido,chácara leonina,RR
Diogo Carvalho,078.***.***-9,83.0,1941-03-10,Endereço inválido,tiradentes,RS
Sr. Anthony Almeida,305.***.***-6,38.0,1987-02-03,Endereço inválido,anchieta,RJ
Clara Martins,397.***.***-8,77.0,1947-03-14,Endereço inválido,conjunto lagoa,MG
Dr. Luiz Felipe Cardoso,374.***.***-2,70.0,1954-07-20,Endereço inválido,boa esperança,PE
Sr. Calebe Lopes,135.***.***-7,63.0,1961-10-19,Endereço inválido,dom bosco,RO
Miguel Monteiro,097.***.***-4,55.0,1969-06-27,Endereço inválido,pompéia,SE
Srta. Catarina Da Mata,468.***.***-5,82.0,1942-07-05,Endereço inválido,novo santa cecilia,AM
João Gabriel Araújo,625.***.***-2,74.0,1950-09-13,Endereço inválido,vila nova cachoeirinha 1ª seção,MT
Sr. Nicolas Azevedo,036.***.***-3,36.0,1989-01-18,Endereço inválido,vila barragem santa lúcia,AC
Kamilly Caldeira,508.***.***-4,46.0,1979-07-04,Endereço inválido,madre gertrudes,AP
Renan Araújo,186.***.***-5,79.0,1945-03-06,Endereço inválido,alta tensão 1ª seção,CE
Vicente Nascimento,054.***.***-3,63.0,1961-02-22,"largo vieira
milionario
78970057 dias / df",milionario,DF
Isaac Rocha,873.***.***-6,58.0,1966-11-30,Endereço inválido,anchieta,PE
Julia Das Neves,819.***.***-0,61.0,1963-08-28,Endereço inválido,nossa senhora de fátima,ES
Breno Rodrigues,196.***.***-3,96.0,1928-10-24,Endereço inválido,dona clara,AM
Isabel Nogueira,968.***.***-6,64.0,1960-10-21,Endereço inválido,miramar,TO
Anthony Araújo,208.***.***-2,39.0,1985-09-07,Endereço inválido,vila rica,AP
Sra. Marina Da Cunha,067.***.***-9,56.0,1968-09-09,Endereço inválido,estrela,RN
Helena Cardoso,853.***.***-3,52.0,1972-05-29,Endereço inválido,indaiá,RR
Luigi Nunes,593.***.***-2,51.0,1973-06-17,Endereço inválido,castelo,RR
Srta. Raquel Da Costa,278.***.***-0,59.0,1965-05-07,Endereço inválido,venda nova,PB
Sra. Ana Vitória Oliveira,120.***.***-1,62.0,1963-11-01,Endereço inválido,juliana,PA
Luiza Campos,974.***.***-0,53.0,1972-01-13,Endereço inválido,conjunto providencia,SC
Lucca Da Paz,526.***.***-9,72.0,1952-04-14,Endereço inválido,conjunto taquaril,RN
Nathan Da Rosa,907.***.***-2,32.0,1992-11-05,Endereço inválido,paraíso,AM
Lívia Silveira,804.***.***-8,62.0,1962-11-22,Endereço inválido,castanheira,AL
Isabel Cavalcanti,492.***.***-0,55.0,1969-05-10,Endereço inválido,vista alegre,PA
Rafael Nunes,285.***.***-7,39.0,1985-08-28,Endereço inválido,estrela do oriente,GO
Elisa Fogaça,572.***.***-9,96.0,1928-12-13,Endereço inválido,vila real 2ª seção,PE
Agatha Ramos,948.***.***-8,25.0,2000-12-03,Endereço inválido,suzana,RJ
Kamilly Rocha,946.***.***-4,60.0,1964-09-19,Endereço inválido,cruzeiro,DF
Antônio Das Neves,435.***.***-8,41.0,1983-07-31,Endereço inválido,vila são rafael,SC
Luiz Gustavo Alves,198.***.***-1,46.0,1978-07-08,Endereço inválido,vila nova dos milionarios,MS
Emanuella Fernandes,097.***.***-9,88.0,1936-07-21,Endereço inválido,padre eustáquio,PR
Srta. Ana Beatriz Farias,431.***.***-3,63.0,1961-08-07,Endereço inválido,jardim dos comerciarios,PE
Yago Monteiro,865.***.***-0,45.0,1979-06-22,Endereço inválido,buraco quente,BA
Yasmin Gonçalves,017.***.***-1,77.0,1947-09-26,Endereço inválido,salgado filho,BA
Bruna Nascimento,132.***.***-5,35.0,1989-04-13,Endereço inválido,minaslandia,DF
Davi Luiz Nogueira,873.***.***-5,98.0,1926-12-20,Endereço inválido,paquetá,ES
Ian Monteiro,324.***.***-9,25.0,1999-12-11,Endereço inválido,casa branca,MS
Srta. Helena Silva,905.***.***-0,36.0,1988-11-14,Endereço inválido,ouro minas,AC
Bárbara Novaes,038.***.***-1,89.0,1935-05-24,Endereço inválido,betânia,PA
Sr. Pedro Lucas Costela,534.***.***-0,31.0,1993-08-24,Endereço inválido,pindura saia,ES
Rafael Jesus,673.***.***-8,23.0,2001-08-16,Endereço inválido,silveira,DF
Sra. Alícia Caldeira,051.***.***-7,91.0,1934-12-04,Endereço inválido,apolonia,PA
Danilo Martins,760.***.***-3,99.0,1925-03-30,Endereço inválido,bacurau,AP
Sr. Gabriel Da Rosa,530.***.***-5,50.0,1974-09-10,Endereço inválido,novo santa cecilia,CE
Augusto Teixeira,412.***.***-1,70.0,1954-11-15,Endereço inválido,savassi,RR
Ana Julia Da Rosa,630.***.***-6,43.0,1981-10-10,Endereço inválido,cônego pinheiro 1ª seção,SP
Lucca Barbosa,836.***.***-7,98.0,1926-06-12,Endereço inválido,penha,SP
Amanda Da Costa,268.***.***-2,24.0,2000-11-20,Endereço inválido,ambrosina,SP
Dr. Francisco Cardoso,430.***.***-5,97.0,1927-10-30,Endereço inválido,braúnas,TO
Lorena Farias,268.***.***-8,93.0,1931-04-17,Endereço inválido,zilah sposito,AP
